time;x;y;z;speed x;speed y;speed z;roll;pitch;yaw;pX|X;pX|Y;pX|Z;pY|X;pY|Y;pY|Z;pZ|X;pZ|Y;pZ|Z;roll Scalar;pitch Scalar;yaw Scalar;accelerate;roll Input;pitch Input;yaw Input
18,9545;2068,004;99,17393;6,894043;112,352;-6,488356;4,667435;-163,2531;-3,509949;88,9086;-0,000602379;0,2876042;0,9577494;-0,0641027;-0,955791;0,2869758;0,9979433;-0,06122151;0,0190116;-0,955791;-0,06122151;0,0190116;1;-1;0;0
18,9712;2069,88;99,06081;6,964355;112,3491;-6,663252;4,597028;-165,4842;-3,549334;89,04935;-0,000546848;0,2501664;0,9682028;-0,06408259;-0,9662217;0,2496183;0,9979445;-0,06190844;0,01655957;-0,9662217;-0,06190844;0,01655957;1;-1;0;0
18,9879;2071,756;98,94506;7,032959;112,3461;-6,835424;4,520898;-167,7158;-3,583264;89,19156;-0,000490699;0,2123457;0,9771947;-0,06406457;-0,9751942;0,2118788;0,9979458;-0,06249962;0,01408204;-0,9751942;-0,06249962;0,01408204;1;-1;0;0
19,0046;2073,632;98,82675;7,100342;112,343;-7,004646;4,439125;-169,9478;-3,611675;89,33499;-0,000434168;0,1741991;0,9847106;-0,0640488;-0,982694;0,1738141;0,9979469;-0,06299411;0,01158332;-0,982694;-0,06299411;0,01158332;1;-1;0;0
19,0213;2075,509;98,70592;7,16626;112,34;-7,170699;4,3518;-172,1802;-3,634481;89,47948;-0,000376598;0,1357844;0,9907388;-0,06403513;-0,9887092;0,1354818;0,997948;-0,06339108;0,009066447;-0,9887092;-0,06339108;0,009066447;1;-1;0;0
19,038;2077,385;98,58265;7,230713;112,3369;-7,333364;4,259021;-174,413;-3,651626;89,62476;-0,000317865;0,09715961;0,9952689;-0,06402366;-0,9932293;0,09694004;0,9979485;-0,06368996;0,006535775;-0,9932293;-0,06368996;0,006535775;1;-1;0;0
19,0547;2079,26;98,45699;7,293213;112,3338;-7,492428;4,160897;-176,6461;-3,663136;89,77065;-0,000259014;0,05838345;0,9982944;-0,06401449;-0,9962482;0,05824718;0,9979492;-0,06389023;0,00399485;-0,9962481;-0,06389023;0,00399485;1;-1;0;0
19,0714;2081,136;98,329;7,354004;112,3307;-7,647684;4,057546;-178,8793;-3,668958;89,91687;-0,000199813;0,01951475;0,9998097;-0,06400768;-0,9977601;0,01946196;0,9979496;-0,06399161;0,001448017;-0,99776;-0,06399161;0,001448017;1;-1;0;0
19,0881;2083,012;98,19875;7,413086;112,3275;-7,798927;3,949093;178,8869;-3,669065;90,06322;-0,000140659;-0,01938753;0,9998124;-0,06400318;-0,9977625;-0,01935676;0,99795;-0,06399387;-0,001101069;-0,9977626;-0,06399387;-0,001101069;1;-1;0;0
19,1048;2084,888;98,06631;7,470459;112,3244;-7,94596;3,835676;176,653;-3,66351;90,20949;-8,10E-05;-0,05826441;0,9983013;-0,06400099;-0,9962546;-0,05815012;0,99795;-0,06389697;-0,003648669;-0,9962545;-0,06389697;-0,003648669;1;-1;0;0
19,1215;2086,764;97,93177;7,525635;112,3213;-8,088588;3,717437;174,4189;-3,652216;90,35545;-2,12E-05;-0,09705709;0,995279;-0,06400116;-0,9932386;-0,09685944;0,99795;-0,06370103;-0,00619116;-0,9932386;-0,06370103;-0,00619116;1;-1;0;0
19,1382;2088,64;97,79518;7,578857;112,3181;-8,226624;3,594526;172,1847;-3,635343;90,50091;3,88E-05;-0,1357066;0,9907494;-0,06400375;-0,9887187;-0,1354258;0,99795;-0,06340636;-0,008724828;-0,9887187;-0,06340636;-0,008724828;1;-1;0;0
19,1549;2090,515;97,65663;7,629883;112,315;-8,359889;3,467102;169,9504;-3,612759;90,64557;9,85E-05;-0,1741538;0,9847187;-0,06400864;-0,9827008;-0,1737905;0,9979496;-0,06301335;-0,01124461;-0,9827007;-0,06301335;-0,01124461;1;-1;0;0
19,1716;2092,391;97,5162;7,678711;112,3119;-8,488206;3,335335;167,716;-3,584575;90,78926;0,000158204;-0,2123407;0,9771959;-0,06401591;-0,9751939;-0,2118952;0,997949;-0,06252251;-0,0137478;-0,9751938;-0,06252251;-0,0137478;1;-1;0;0
19,1883;2094,266;97,37398;7,725586;112,3088;-8,611406;3,199396;165,4816;-3,550879;90,93172;0,000217188;-0,250209;0,9681919;-0,06402537;-0,9662089;-0,2496822;0,9979483;-0,06193462;-0,01622958;-0,9662089;-0,06193462;-0,01622958;1;-1;0;0
19,205;2096,142;97,23004;7,77002;112,3057;-8,72933;3,059471;163,2473;-3,511622;91,07275;0,000274912;-0,2877012;0,9577205;-0,064037;-0,9557601;-0,2870938;0,9979478;-0,06125053;-0,01868676;-0,9557601;-0,06125053;-0,01868676;1;-1;0;0
19,2217;2098,017;97,08449;7,812012;112,3027;-8,841823;2,915748;161,0129;-3,466844;91,21212;0,000332575;-0,32476;0,9457964;-0,06405073;-0,9438614;-0,3240731;0,9979466;-0,06047116;-0,02111508;-0,9438613;-0,06047116;-0,02111508;1;-1;0;0
19,2384;2099,893;96,9374;7,851807;112,2996;-8,948738;2,768422;158,7786;-3,416728;91,34966;0,00038958;-0,3613294;0,9324383;-0,06406672;-0,9305319;-0,3605638;0,9979457;-0,05959775;-0,02351188;-0,9305319;-0,05959775;-0,02351188;1;-1;0;0
19,2551;2101,768;96,78888;7,88916;112,2966;-9,049937;2,617693;156,5444;-3,361268;91,48512;0,000445519;-0,3973536;0,9176657;-0,06408471;-0,9157911;-0,3965107;0,9979446;-0,0586316;-0,02587273;-0,9157911;-0,0586316;-0,02587273;1;-1;0;0
19,2718;2103,643;96,63901;7,924072;112,2937;-9,145288;2,463769;154,3103;-3,300552;91,61826;0,00050018;-0,4327777;0,9015008;-0,0641046;-0,8996607;-0,4318587;0,9979432;-0,05757424;-0,02819338;-0,8996607;-0,05757424;-0,02819338;1;-1;0;0
19,2885;2105,518;96,48788;7,956543;112,2908;-9,234671;2,306865;152,0764;-3,234767;91,74899;0,000554986;-0,4675479;0,8839677;-0,06412688;-0,8821651;-0,4665541;0,9979417;-0,05642709;-0,03047215;-0,8821651;-0,05642709;-0,03047215;1;-1;0;0
19,3052;2107,394;96,33561;7,986328;112,2879;-9,317968;2,147195;149,8426;-3,163907;91,87703;0,000608303;-0,5016112;0,8650933;-0,06415106;-0,8633313;-0,5005443;0,9979402;-0,05519204;-0,03270449;-0,8633313;-0,05519204;-0,03270449;1;-1;0;0
19,3219;2109,269;96,18227;8,013672;112,2851;-9,395077;1,984982;147,6091;-3,088067;92,0022;0,000660792;-0,5349154;0,8449056;-0,0641773;-0,843187;-0,533777;0,9979385;-0,0538709;-0,03488706;-0,8431869;-0,0538709;-0,03488706;1;-1;0;0
19,3386;2111,144;96,02799;8,03833;112,2823;-9,465899;1,820453;145,3757;-3,007456;92,12431;0,000712901;-0,5674102;0,823435;-0,06420571;-0,8217621;-0,5662019;0,9979364;-0,05246562;-0,03701678;-0,8217622;-0,05246562;-0,03701678;1;-1;0;0
19,3553;2113,019;95,87285;8,060303;112,2796;-9,530349;1,653838;143,1426;-2,922082;92,24323;0,000763468;-0,5990458;0,8007147;-0,06423628;-0,7990909;-0,5977694;0,9979347;-0,05097842;-0,039091;-0,7990909;-0,05097842;-0,039091;1;-1;0;0
19,372;2114,894;95,71696;8,07959;112,277;-9,588346;1,485369;140,9097;-2,832205;92,3587;0,000812575;-0,6297739;0,7767785;-0,06426844;-0,7752061;-0,6284314;0,9979326;-0,04941151;-0,04110505;-0,775206;-0,04941151;-0,04110505;1;-1;0;0
19,3887;2116,769;95,5604;8,096191;112,2744;-9,63982;1,315285;138,6772;-2,737953;92,47055;0,0008609;-0,6595474;0,7516626;-0,06430259;-0,7501439;-0,6581411;0,9979302;-0,04776716;-0,04305664;-0,7501439;-0,04776716;-0,04305664;1;-1;0;0
19,4054;2118,644;95,40331;8,110352;112,2719;-9,684713;1,143829;136,4449;-2,639304;92,57863;0,000907272;-0,6883215;0,7254055;-0,06433833;-0,7239432;-0,6868534;0,997928;-0,04604807;-0,04494265;-0,7239432;-0,04604807;-0,04494265;1;-1;0;0
19,4221;2120,519;95,24577;8,121582;112,2695;-9,722974;0,9712421;134,2128;-2,536516;92,68282;0,00095281;-0,7160521;0,6980465;-0,06437635;-0,6966431;-0,7145243;0,9979255;-0,04425669;-0,04676107;-0,6966429;-0,04425669;-0,04676107;1;-1;0;0
